path,file,count
Source/WebCore/dom,ScriptExecutionContext.h,48
Source/WebCore/css,ElementRuleCollector.h,47
Source/core/dom,ScriptLoader.cpp,47
Source/WebCore/fileapi,FileReaderLoader.cpp,47
Source/WebKit/chromium/src,WebPagePopupImpl.cpp,47
Source/WebCore/svg,SVGFontFaceElement.cpp,47
Source/WebCore/dom,Event.h,47
Source/WebCore/css,CSSDefaultStyleSheets.cpp,47
Source/WebKit2,config.h,47
Source/core/css,MediaList.cpp,46
Source/WebCore/rendering/style,StyleRareNonInheritedData.h,46
Source/core/loader,HistoryController.h,46
Source/WebCore/css,CSSCalculationValue.cpp,46
Source/WebCore/inspector,InspectorDOMAgent.h,46
Source/WebKit/chromium/src,WebMediaPlayerClientImpl.h,46
Source/core/rendering/svg,RenderSVGResourceClipper.cpp,46
Source/WebCore/svg,SVGAnimateMotionElement.cpp,46
Source/WebCore/html,HTMLSelectElement.h,46
Source/WebKit/chromium/src,WebBindings.cpp,46
Source/WebCore/platform/graphics/skia,NativeImageSkia.cpp,46
Source/WebCore/html,HTMLElement.idl,46
Source/WebCore/workers,SharedWorker.cpp,46
Source/core/page,ContentSecurityPolicy.h,46
Source/WebCore/css,RuleSet.h,46
Source/core/page,ImageBitmapFactories.cpp,46
Source/WebCore/svg,SVGSVGElement.h,45
Source/WebCore/html,HTMLCanvasElement.h,45
Source/WTF/wtf,HashTable.h,45
Source/WebCore/html,HTMLObjectElement.h,45
Source/bindings/v8/custom,V8MessageEventCustom.cpp,45
Source/WebCore/css,CSSToStyleMap.cpp,45
Source/WebCore/fileapi,FileReader.cpp,45
Source/WebCore/platform/chromium,PopupListBox.cpp,45
Source/WebCore/platform/graphics,Image.h,45
Source/core/animation/css,CSSAnimations.h,45
Source/WebCore/platform/graphics/skia,FontCacheSkia.cpp,45
Source/WebCore/platform/animation,Animation.h,45
Source/WebCore/Modules/indexeddb,IDBTransaction.cpp,45
Source/WebCore/platform/graphics,FontDescription.h,45
Source/core/rendering,RenderTableCell.cpp,45
Source/WebCore/inspector,InspectorDOMStorageAgent.cpp,45
Source/WebCore/dom,ShadowRoot.idl,45
Source/WebCore/html,DOMURL.cpp,45
Source/core/html/shadow,InsertionPoint.cpp,45
Source/bindings/tests/results,V8SupportTestInterface.cpp,45
Source/WebCore/page/animation,AnimationController.cpp,45
Source/WebCore/accessibility,AccessibilityObject.cpp,45
Source/WebCore/page/animation,AnimationBase.cpp,45
Source/core/dom,TreeScope.h,44
Source/WebCore/bindings/js,ScriptProfiler.cpp,44
Source/core/rendering,RenderFileUploadControl.cpp,44
